Jadwal hari SENIN SESI 4 (14.10-17.30), Kelas: IF-4F, Mata Kuliah: Sistem Operasi, Dosen: Agung Susilo Yudha Irawan, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari SENIN SESI 4 (14.10-17.30), Kelas: IF-6C, Mata Kuliah: Pengolahan Citra Digital, Dosen: Chaerur Rozikin, Ruang: L3 Lab Dasar 2 [IF]
Jadwal hari SENIN SESI 4 (14.10-17.30), Kelas: SI-2A, Mata Kuliah: Algoritma dan Struktur Data, Dosen: Taufik, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari SENIN SESI 4 (14.10-17.30), Kelas: SI-4B, Mata Kuliah: Jaringan, Dosen: Azhari, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari SENIN SESI 4 (14.10-17.30), Kelas: IF-2C, Mata Kuliah: Pancasila, Dosen: R. Bagus Irawan, Ruang: L4 R.75 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-2A, Mata Kuliah: Aljabar Linear, Dosen: Tesa Nur Padilah, Ruang: L4 R.75 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-4A, Mata Kuliah: Rekayasa Perangkat Lunak, Dosen: Oman Komarudin, Ruang: L4 R.76 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: SI-6A, Mata Kuliah: Karya Tulis Ilmiah, Dosen: Apriade, Ruang: L4 R.77 [SI]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-4F, Mata Kuliah: Embedded Intelligent Systems, Dosen: Susilawati, Ruang: L4 R.78 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-6PIL B, Mata Kuliah: Big Data, Dosen: Ratna Mufidah, Ruang: L4 R.79 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-6PIL C, Mata Kuliah: Big Data, Dosen: Jajam Haerul Jaman, Ruang: L4 R.80 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-2B, Mata Kuliah: Pemrograman Berorientasi Objek, Dosen: Purwantoro, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: SI-4C, Mata Kuliah: MLTI, Dosen: Bagja, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: SI-2B, Mata Kuliah: Communication Skill, Dosen: Nina, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: IF-4B, Mata Kuliah: Kecerdasan Buatan, Dosen: Yuyun Umaidah, Ruang: L3 Lab Lanjut 2 [IF]
Jadwal hari SELASA SESI 1 (07.30-09.10), Kelas: SI-6A, Mata Kuliah: Komputasi Awan, Dosen: Agung, Ruang: L1 R.81 [SI]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-2B, Mata Kuliah: Struktur Data, Dosen: Asep Jamaludin, Ruang: L4 R.75 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-4B, Mata Kuliah: Analisis Desain Algoritma, Dosen: Intan Purnamasari, Ruang: L4 R.76 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-4C, Mata Kuliah: Embedded Intelligent Systems, Dosen: Irfan Sriyono Putro, Ruang: L4 R.77 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-6A, Mata Kuliah: Metodologi Penelitian, Dosen: Sofi Defiyanti, Ruang: L4 R.78 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-6C, Mata Kuliah: Metodologi Penelitian, Dosen: Betha Nurina Sari, Ruang: L4 R.79 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-2A, Mata Kuliah: Metode Numerik, Dosen: Aries Suharso, Ruang: L4 R.80 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: SI-4C, Mata Kuliah: Financial Technology, Dosen: Ade Andri, Ruang: L3 Lab Dasar 1 [SI]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: IF-4E, Mata Kuliah: Pemrograman Berbasis Web, Dosen: Dadang Yusup, Ruang: L3 Lab Dasar 2 [IF]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: SI-4B, Mata Kuliah: Pemrograman Web, Dosen: Billi, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari SELASA SESI 2 (10.00-12.30), Kelas: SI-6C, Mata Kuliah: Sistem Cerdas, Dosen: Yuyun, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-4B, Mata Kuliah: Rekayasa Perangkat Lunak, Dosen: Jajam Haerul Jaman, Ruang: L4 R.75 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-4D, Mata Kuliah: Analisis Desain Algoritma, Dosen: Intan Purnamasari, Ruang: L4 R.76 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-4E, Mata Kuliah: Analisis Desain Algoritma, Dosen: E. Haodudin Nurkifli, Ruang: L4 R.77 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-6C, Mata Kuliah: Software Design Pattern, Dosen: Carudin, Ruang: L4 R.78 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: SI-4A, Mata Kuliah: Financial Technology, Dosen: Ade Andri, Ruang: L4 R.79 [SI]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-6D, Mata Kuliah: Metodologi Penelitian, Dosen: Betha Nurina Sari, Ruang: L4 R.80 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-2C, Mata Kuliah: Pemrograman Berorientasi Objek, Dosen: Irfan Sriyono Putro, Ruang: L3 Lab Dasar 1 [IF]
